,Text,Label
24,@marvenwhidden @ErinOTooleMP you mean the "experts" who have been wrong since this started. I will not listen to @CPHO_Canada. She lies. Constantly. She's about as sharp as skippy.  And I don't like being called a racist. Especially by a racist. #kungflu #WuhanVirus,Neutral
25,"@IngrahamAngle Exactly, like the Zika river, the ebola river and the west nile river. Get over it bitch, #ChinaVirus #WuhanVirus no one will stop using this terminology. Also black people are super predators. You should of spoke up on that first. You command no one. Sit down and take a nap.",Non-Asian Aggression
26,USA SPREAD THE COVID 19 (ISRAELI) VIRUS IN CHINA AND LOOK RACIST ARE BULLING CHINA AND THREATENING TO KILL CHINESE,Non-Asian Aggression
27,"Let there be no mistake, China is not responsible for #ChinaVirus. We are, everyone of us suffering in any part of the world. If we take this shit lying down, we deserve this.  Watch them make money as the nations bleed .... wake up.",Counterhate
28,March 13th: 10% raise April 3rd: company announces 20% salary cut across the board until #WuhanVirus era is over...  Fuck you 2020.,Neutral
29,I'm losing my mind � quarantine is making me mad. #Chinese douchebags ate shit infected everyone with this #ChineseVirus and now the whole world is suffering for them. Bloody shitbags! Bloody ban #china ban Chinese people!�  #Coronavirus,Hate
30,#Coronavirius "#Trump  cut funding for #CDC -  ! Forcing the CDC to cancel its efforts to help countries prevent infectious-disease threats from becoming #epidemics in 39 of 49 countries in 2018. AMONG THE COUNTRIES  ABANDONED? -- CHINA.",Neutral
31,@lukedepulford @WHO @hkdemonow @Stand_with_HK Taiwan alerted the WHO of the possibilities of human-to-human transmission of the Wuhan Virus in late December and the WHO just ignored it. This is a crime against humanity. The international community MUST take the WHO and Communist China to account !,Hate
32,"Two weeks ago, your entire party was criticizing his interest in shutting down the border to China saying it was racist and unnecessary.  Every single thing is turned as a politicized weapon.",Neutral
33,"@scotapathy @TheWayneOffendr @nickwirbel @ChrisDepo @DanCrenshawTX Trump absolutely is not the one that created the shit culture he’s just the one that’s made it more apparent. Also, calling it the Chinese virus is no different that any other virus named for it origin. I do not refer to it as such, but these pear clutching attempts to call it",Neutral
34,@RealHeidiSears The Chinese and thier masssssss population. Not their fault. They just like to fuck but between you and I who doesn't. From my understanding it came from food market in China were certain animals were Infected and spread it amongst each other to cause this Virus !!,Neutral
35,@PoliticusSarah Facts?! Hundreds of thousands dead?!? Make shit up much? #hack #ChineseVirus #ChinaLiedPeopleDied #MAGA2020,Hate
36,It's hilarious how Andrew Yang was smeared as a defacto white person because Asians are somehow basically white people. Pretty sad to see other minority groups say that about another minority group who faces racism daily.,Neutral
37,Look at These Chinese Bastards America�� LET'S KEEP THESE CHINK BASTARDS OUT OF AMERICA!! #ChinkVirus #ChineseVirus  #ChineseVirusCorona  #ChinaLiedPeopleDied,Hate
38,"@HuXijin_GT Oi.... this fucking Wuhan coronavirus originated from Wuhan, China. Stop preaching. Just stfu!!!!",Non-Asian Aggression
39,"THIS IS SO F*** RACIST! WTF I’m so pissed! Republicans calling it “Chinese Coronavirus” is scientifically inaccurate, wrong, and extremely dangerous! There’s already cases around the country Asian people getting stabbed and beat up for being “chinese coronavirus”. https://t.co/o4s1U86pse",Counterhate
40,@OKAMIDUAN @Chamanpandey5 @realDonaldTrump It took you so long to https://t.co/lxQ7UYfeWk Were you learning english Mr chinese virus?China is endangering lives and u have to admit it.fucking your mother is not the only option I got.That too will result me suffering from the Chinese virus.,Hate
41,@belkiswille @PrimeministerGR It’s ccp virus which killed those innocent all around world...it’s ccp’s dirty and inhumanity plan which is still killing more innocent people all around world...evil ccp must be punished for a better life of all chinese as well as the rest of world people... https://t.co/91WxQ8Wf0a,Hate
42,@_sabanaqvi The world is blaming China  and Wuhan As for india the first death in Karnataka is Mecca returnee . Most of our infection came from the west. And now the greatest spread is because of the stubborn muslim group inviting virus infected  from muslim country. Now  defying lock down,Non-Asian Aggression
43,"@realDonaldTrump Please stop calling it the Chinese virus.  It sounds very racist. It's very Italian, American, British, etc. now!!  Just stop!  I want to re-elect you, but every time you open your mouth, makes me question it.  America has always been great, show the world that it is classy too!",Neutral
44,"yall ever see someone ignore your questions and then just carry on like i didnt ask? that shit hits different. oh well, what do i know, im just a chink",Neutral
45,DHS has admitted allowing people coming here from EU have come from China First! All they have to look at dated stamp on Passport! If they were in China it will be stamp so! Lazy ass Mfers!,Non-Asian Aggression
46,"@RealTimBlack So Turn the other cheek Asians even if your POTUS is blaming your race for a virus you had no control over, i've had to see friends get treated like shit since Trump started calling Covid 19 the Chinese virus. Andrew is a Coward &amp; traitor , those who defend him are BLIND!",Non-Asian Aggression
47,"Travel restrictions put on China is protecting America from massive exposure to the Coronavirus. Fundamental approach to protecting Americans!!. Exact same protection required at our Border immediately. Stop human trafficking, disease, gangs and illegal migration. Protect America",Neutral
48,"Did you thank them for the virus too? Without the Chinese, you wouldn’t need more ventilators. Was there Shmoozy ass kissing?",Hate
49,"Is the name ""#WuhanVirus"" Racist or is #ChrisHayes?�#WuhanFlu #coronavirus  By the Left’s Standards, They are #racist ! CNN WaPo said Wuhan,so shut em down?��#LiberalismIsABrainEatingVirus  #COVID19 = China Overlooks Viral Infectious Disease! https://t.co/vQXRqKZ2Wg via @YouTube https://t.co/yg3lCmx37W",Hate
50,"It just take a fucking sneeze then you have china, korea, malaysia, indonesia ans the rest of asia to buy $btc like candy. Really. Just one messed up thing from their bank and the people will abandon them because of #coronavirus",Neutral
51,"@el_mago_jinete @tyrone_brother Stop eating vermin and exotic animals, you damned slant eyed COVID-19 spreader! Mind YOUR damned business, Ladyboy Ling Ling! ���",Hate
52,"@XHNews XI and CCP both are criminal, both have ruined people, killed so many own citizen  in Wuhan.Killed own people by bullets,number of deaths not true.Then they spread Wuhan virus all over,ruined Itlay, Spain other 190 counties. Life has come to halt.",Hate
53,@Huawei_Canada Fuck off and get the fuck out of #Canada and the #US - we’ve been infected enough by your #CCP #China virus and other BS! #ChineseWuhanVirus #ChinaLiedPeopleDied,Hate
54,The hypocrisy of the left calling people racists over the name Chinese Virus.   But literally teach in schools how the WHITE MAN brought disease. �‍♂️�‍♂️�‍♂️�‍♂️�‍♂️,Neutral
55,"Damned if you do, damned if you dont...,. Scientists question China’s decision not to report symptom-free coronavirus cases https://t.co/GDidJJzizF",Neutral
56,"Day whatever in quarantine, I have joined multiple different groups on Facebook but this kinda blew my mind. We’re the only country and by we I mean racists, that call it the “Chinese virus” everybody else calls it the American virus because nobody stays the fuck inside here :) https://t.co/W8YiLDphMJ",Non-Asian Aggression
57,"@RyanB8403 @MsMariaT @IvankaTrump You do know that the New York Times is not libtard Fake news, right? Did you read the headline? MY tweet was a rebuttal to that bullshit tweet about sending PPE to China, which the lefties would have bitched about if we didn't &amp; then called @realDonaldTrump racist. #WuhanVirus",Neutral
58,"@realDonaldTrump America has been killing humans overseas for 19 years for ISRAELI COMMUNIST JEWS. Trump has the Coronavirus beat, he bomb Syria and in one day MURDERED 500 HUMANS and did a billion dollars in damage. STOP THE COMMUNIST JEWISH SUPREMACIST CANCER KILLING THE WORLD. HITLER WAS RIGHT https://t.co/WEKtMfaDym",Non-Asian Aggression
59,@afneil Ooh that is racist. Reporting facts is racist now. Just like saying the #ChineseVirus originated in #China,Neutral
60,@Eberechiukwu @Imamofpeace Fuck ur self. Chinese virus.,Hate
61,Why the fuck he is dragging India into this? China is not a saint. They kept quiet about Coronavirus for months.,Hate
62,@GhostMan868 Better yet...use it on the FUCKING CHINESE WHO INVENTED THIS SHITTING VIRUS,Hate
63,"This just shows how STUPID you are! You attack President Trump, who is doing a fantastic job and you ignore the fact that the United States was attacked by a Chinese Virus that they were weaponizing to use against us!  WHAT’S WRONG WITH YOU?  Oh now I get it, you hate America!",Non-Asian Aggression
64,@CBCAlerts @CBCNews John Tory failed us horribly. At the beginning he accused people of being racist for self isolating by avoiding Chinese restaurants. Wasn't racism just science - avoid nations where the virus began. Now he scolds people for not self isolating. All of them are damn incompetent.,Non-Asian Aggression
65,"#ChinaVirus These savages have much to answer for. And fuck paying them back for any money they lent to #America! They weaponized this #virus. By the way, how is #GeorgeSoros these days?? #covid19",Hate
66,Steve Bannon's New Movie: 'Claws Of The Red Dragon' - Official Trailer #CCP #CCPvirus #XiJingping #espionage #China #Huawei  https://t.co/AERVIVkHkB,Neutral
67,@DailyCaller Dr. Birx: common Chinese people didn't know there was human-to-human transmission till Jan 18th. Chinese government informed US even earlier than common Chinese people. No excuse for virus spreading in America.,Hate
68,@AmbLiuXiaoMing Fuck china communist and Xi " winnie the POOP" jinPIG.. You guys ..need to bow and apologize to the world. #ChinaVirus https://t.co/rJhSTDYQNn,Hate
69,@fihdeIah shut it chink,Hate
70,"@DrTedros @WHO @KingSalman You a bitch. #ChineseBitch  #BruceAylward cant even read the word #Taiwan , the best country in fighting #ChineseVirus",Non-Asian Aggression
71,@BarackObama Fuck you . It’s a Chinese virus moron.  It’s not the result of climate it’s the result of countries that eat weird shit like bats.,Hate
72,"@yourspenfully @Mcgriffins4 @SDEKenya @StandardMediaKe @FredMatiangi @KenyaAirways @KenyaAirports @StateHouseKenya @flyethiopian Time to tell these airlines some truth. The #CoronaVirus kill. They've been manufactured to kill. That's why they - alongside their more toxic products - are created to kill. China calling them ""common cold"" deliberately minimizes the harm they cause. @KenyaAirways ,@flyethiopian",Hate
73,@mindmixradio @realDonaldTrump Niterz...outta here and the Chink virus can eff off!,Non-Asian Aggression
74,@alexbarmy @allanhilluk @jaglancy @10DowningStreet They sat on this virus for months knowing that there would be a surge of Chinese nationals back into the west after Chinese New Year. A fucking disgrace what they’ve done. The personal and economic impact will be huge. They should be dragged over the coals for what they’ve done.,Non-Asian Aggression
75,"@Casper324B @PaulGavigan4 @SenSchumer He clearly says we need a check and balance. BTW the corona virus didn’t get here via China. Trump let it in, and his unqualified shit for brains gov officials aren’t preparing health workers for this. They just exposed a bunch of folks to this because of sheer incompetence.",Non-Asian Aggression
76,"I'm CONFUSED. IF THE VIRUS IS TRANSMITTED HUMAN TO HUMAN BUT THERE ARE NO HUMANS ON THE STREETS BECAUSE OF THE 60M PPL QUARANTINE, THEN WHY ARE THEY SPRAYING THE STREETS?  Another video of chemical disinfection in the streets of Wuhan #coronavirus  https://t.co/aRlkNuNIhS 03",Neutral
77,That Corona virus aint stopping yall bitches from getting yall nails done by Ling ling�,Hate
78,"If that’s the case China �� should have about 788k deaths �... pretty sure they are lying their ass off about 3,300 deaths �   #coronavirus �  #ChinaLiedPeopleDied �",Hate
79,@JJamesMIA @LatimerJane @pumpkin_yuleimy @eekamax @1Kingofthefall @JeffreyGuterman @realDonaldTrump The virus did inherently come from China but you can’t just call it the Chinese virus because that’s racist. or KungFlu because 1. It’s not a fucking flu it is a Coronavirus which is a type of virus. And 2. That’s also racist.,Counterhate
80,@TwittahVictoria note how a chink comes upo at the end for him filming lmao,Hate
81,@JoeWongComedy You mentioned in your live show today that you were so mad once at the backstage of a theater because the comedians called you “chink”. It reminded me that when I was pursuing my master degree one white girl told me to “open your eyes”.i was so upset because I had big eyes...,Counterhate
82,"@SkyNewsRicho Each country can order the vaccine, then remove the cost of the vax from the enormous debt that each country has amassed because of the Chinese virus.  Global class action is required to recover the remaining economic &amp; human cost.....",Neutral
83,President Trump shouldn’t answer the stupid question off topic of the Chinese Virus.  I like it when Trump bitch slaps the media. They have a democrat telling them to ask these stupid ass question I bet there a bunch of puppet ass clowns �,Non-Asian Aggression
84,"@renoomokri Which evidence is there, sir Reno, or has any country any record of a Chinese infected with the virus entering and spreading the pandemic disease in their country? China has no liaison whatsoever with any country, which by her territorial negligence contracted the deadly virus.",Counterhate
85,@DrDenaGrayson You dumb ugly ass @realDonaldTrump closed flights from China to stop spread of #ChineseVirus. Then you called him racist.,Non-Asian Aggression
86,"Bro, why can’t kpoop just hurry up and be as good as anime OPs. I’d listen to it then. And why do kpoop stans always tweet and then use some chinky cunt dancing as a reaction like bruh I don’t wanna see Heung-Min Son in his freetime after getting knocked out the Champions League",Neutral
87,@AdamYoungHK @StandNewsHK Fuck all fake rubbish 76 ass hole hk fucking popo wish all they can get corona wuhan virus asap and die immediately,Non-Asian Aggression
88,@CNNIDdaily MORE PEOPLE DIE FROM THE REGULAR FUCKING FLU EVERY YEAR THAN THE NUMBER OF PEOPLE WHO HAVE DIED FROM THE CORONA VIRUS JUST WASH YOUR HANDS COVER YOUR MOUTH WHEN COUGHING TAKE YOUR FUCKING VITAMINS AND STOP BEING RACIST TO EVERY ASIAN PERSON YOU SEE YOU FUCK HEADS,Counterhate
89,"@BGrueskin The Chinese have either eaten every animal on the planet or caused a virus to kill every human except me, but I refuse to blame them, I'm not a racist.",Hate
90,"Imagine being this painfully stupid and uneducated, Spanish found never came from Spain.  Beyond the small deluded minority of Americans that don't mind looking stupid as fuck, nobody would even know what you mean if you said cHinEsE vIrUs",Counterhate
91,"@l_pavlatos @AnonPath @FlickerNorthern @Rae96694001 @jetrotter @FBI Yeah, but calling it the Chinese virus or the Wuhan flu makes it seem like it’s the Chinese citizens fault. It isn’t. It’s the dumb bitch they’ve got in charge. Winnie the Pooh looking bitch. You know who I’m talking about.",Counterhate
92,"@TheChineseGovt the oppressive communist dictatorship is in itself a blood sucking virus on the world at large. They have one goal in mind, to oppress freedom, domination of democratic countries thru predatory indebtedness and populating foreign countries with Chinese nationals",Hate
93,This is ridiculous! Surely the UN and every bloody country in the world needs to be asking “what the fuck are you thinking China?!”,Hate
94,i feel like the coronavirus has basically given people an excuse to be racist towards chinese people  the prc's government sucks but the government ain't the same as the people,Counterhate
95,China sucks dick and so does 90% of other countries in the world. Call me xenophobic ��‍♂️,Hate
96,@ErkinSidick Chinese virus kill humans! Let china pay !,Hate
97,This is indeed a fact. There are videos of Nancy encouraging the celebration of Chinese New Year and downplaying the virus. Leaders in New York the same. So get off Trumps ass you tools.,Non-Asian Aggression
98,"@isgoodrum We do not need the intelligence community to know what happened with the #CCPVirus. The CCP hide the information from early Nov 2019. Tedros,, the maoist stated Jan 14th there was no human to human contact.  Tedros lied... people died",Hate
99,If you let the #ChineseVirus establish a Critical Mass in a High Density Area...  the benefits of Seasonal Change in SLOWING the Spread will be diminished   Be Aggressive Early Slow the Spread Buy Time  Your area does NOT need to be #NYC (they Fucked up big time) https://t.co/n6NlWcYxwG,Hate
100,"@HANAYoussef4 @Garou_Hidalgo @lucas_ammr Becasue you are living in a shit-hole country, and Italy/Spain/Iran are shit-holes compared with China. You people are inferior and not as disciplined as Chinese. China spent 101 billion ￥ to contain the virus. Also the origin of COVID19 is quite possible from US named ""FLU""",Counterhate
101,"@CBPMarkMorgan https://t.co/jLfMe4uLHu AS THE WUHAN VIRUS SPREADS THROUGH 3RD WORLD COUNTRIES LIKE AFRICA &amp; INDIA-BOTH HAVING RIOTS NOW, IMMIGRANTS WILL TRY TO FLEE TO U.S.!! MUST KEEP OUR BORDERS CLOSED TO ALL IMMIGRANTS OR WE ARE INSANE!!",Neutral
102,"@Mranking1 @CNN what the fuck connection between this thing and china,we chinese  love Dr .fuci for the same,cuz he trys to inform people about the virus",Counterhate
103,"FT is actually full of so many racists and xenophobes it's disgusting. Call someone the n word and you get bagged instantly and swore at by everyone. Be racist to asian/Chinese/South Asian people (chink,paki etc) nothing happens. Simply disgraceful.",Counterhate
104,"Yeah, the WAR has just begun. It is the sacred war to stop Xi Jinping(a.k.a. Xitler) and CPC. Because of Wuhan FUCKING coronavirus. ALL OF GUYS, IT IS TIME TO UPRISE! Let's KILL FUCKING Xitler! #FreeHK #FreeTibet #FreeUyghur",Hate
105,@HuXijin_GT Fuck off and die Chink,Hate
106,@WHO #ChinaCoronaVirus #ChinaVirus #WuhanCoronaVirus #KungFlu #KungFluFighting #VirusChina #CommunismKills #chicomvirus #ChiCom   Bite me bitches!,Hate
107,@WBYeats1865 Fuck the chinese make a lot of people died in this #ChineseVirus. They will go to hell #ChinaLiedPeopleDie,Hate
108,@realDonaldTrump @larry_kudlow @MariaBartiromo Its not the virus......ITs FuckIn CHINESE'' VIRUS'',Hate
109,the Wuhan wet markets have reopened ..  AND NOT A SINGLE FUCKING LESSON WAS LEARNT.  #ChineseVirus,Hate
110,@JoeySalads So how is saying the china virus racist the Chinese Communist Party is not a race it is an authoritarian government that has nothing to do with race the CCP lied and covered up the extent of this virus and had the W.H.O as their propaganda machine,Hate
111,@ScotchJLK @FasherMichael I’m based in New Zealand you numbskull. I’m not defending China — they fucked up by not reporting the virus initially. But it takes some incredible mental gymnastics to go from that to “oMg neW w0rLd oRder viRus is a ChiNeSE BIOWeApOn!!1! �”,Hate
112,"@carmenbest @LoriMatsukawa What happened to sticks&amp;stones? 911 if called a name? Used to be life endanger, report fire, crime occurring! Ready for busy lines? PPL need to toughen up! This is ridic! 1 cant even say ""Chink in armor"" meaning minor &amp; bad flaw from broken link/plate in Chain &amp; Scalemail armor.",Neutral
113,@isfinalcountdo1 @_taiwano1 #CHINAVIRUS CHINA IS ASS-HOE https://t.co/45g5KsSbf6,Neutral
114,"Don’t discriminate on any Chinese or Asian people, they have no control over their government. That being said the Chinese government taking control of the WORLD economy with the fucking virus. Their stocks were barely even effected and they’ve shut down borders with NO NEW cases",Counterhate
115,President Trump should tell them I’m here to talk about the Chinese Virus not your shit questions. That would shut these assholes down real quick. Always getting off topic every news conference with bullshit fake news. America needs to hear positive not crap that is negative.,Neutral
116,If you call it the "Chinese Virus" you are a racist. Trump is a racist.   Stabbing of Asian-American 2-Year-Old and Her Family Was a Virus-Fueled Hate Crime: Feds https://t.co/vhJoCNxw7s via @Yahoo,Counterhate
117,@BroTaoist @ChicadeDireita @PeterSweden7 No your evil killer of communist China is to blame dickhead!! Your government is the worst for human atrocities. Your government killed your own people. Your government created the Chinese virus!,Hate
118,@BBCAnyQuestions #bbcaq #COVID19 reaction weaponised+racialised by https://t.co/rbRh2Nz2Un #SuperSpreader was White British fr. B'https://t.co/Dup2nraqdP's Brit. Chinese+E.Asians who've suffered racist attacks.NO-ONE infected was eating out.80% of infected recovered.#FactsNotFear,Neutral
119,@Brian06176510 @tribelaw @FoxNews @TuckerCarlson @seanhannity @JudgeJeanine who is "they"?  I haven't heard anyone call Trump a racist for that.  Calling the virus the "Chinese Virus" is a bit racist - especially coming for POTUS.  He/she should be held to a higher standard than you and me IMO,Counterhate
120,@yjpc06 @holymation Fucking chinese virus,Hate
121,@CaseyCrowhop @BmoreInBklyn @briebriejoy You think this is a tone Joe Biden would have set? Xenophobic “china virus” ??  This isn’t a fucking game. https://t.co/xIJrdhSXev,Neutral
122,China should be held responsible for every single death from this shit..,Hate
123,"Social Media ~Influencers~ need to shut the FUCK up. Nobody cares about the nonsense you have to say buddy, get off the internet! #ChineseVirus #CaroleKilledHerHusband",Neutral
124,W.H.O. : There's #coronavirus in your country.   Britain:  And? .. what's for tea ?  America: "OMFG! AAAAAAAAAHHHHHHH! We're all going to die I don't want to die it's the arabs and the Chinese oh my god save us President Trump and baby Jesus WE'RE ALL GOING TO DIE!" https://t.co/wYmuuCGzWl,Neutral
125,China is saving the world! ��  Bitch Chinese Communist party and Chinese People spreaded #COVID2019  to more than 200 countries &amp; killing thousands of people  Fuck China and Fuck every chinese who eat bats  We will never Never Forgive You  #ChineseVirus19 #ChinaLiedPeopleDied https://t.co/RMZfpLYIQP,Hate
126,Fucking chinese virus.,Hate
127,@WBYeats1865 God damn chink. Time to eat some more bat you fucking subhuman,Hate
128,"@KrayzAlex92 @davisb29000 @JeffroBodine9 @Alyssa_Milano A single country? What other country started the virus, lied about it to the WHO, expelled foreign scientists, silenced doctors, allowed 5M people flee from infected Wuhan, and allowed tens of thousands of people to fly to the US &amp; Eruope and the Middle East?",Hate
129,Way to fucking go @realDonaldTrump &amp; all your racist fucking friends &amp; cronies. Calling COVID-19 the Chinese/China Virus has real world consequences.  Stabbing of Asian-American 2-Year-Old and Her Family Was a Virus-Fueled Hate Crime: Feds https://t.co/NmxrwrTuzp via @YahooNews,Counterhate
130,@Chicagoway_ @LqLana @ConjureBlk @TalibKweli Keep proving me right   So you now fully accept cHinEsE vIruS is racist? But you think it's OK because SOME Asians are anti black?   You keep exposing your desperate deluded brain,Non-Asian Aggression
131,"Trump haters act as if the president went to Wuhan China , had sex with a bat and a pig , got the corona virus , came back to America and started licking everything in New York just so everyone would get sick. Grow the fuck up and stop blaming everyone else for Chinas failures",Hate
132,"@MRobertsQLD China allowed people who contacted the virus leave their country..now they Ban entry..Wuhan got but Beijing is free..how?..same country..yet the world is affected..and someone says its conspiracy theory?.asides precautions,we should all pray..God will frustrate their agenda.",Neutral
133,How DISGUSTING is this Anti-White  We shouldn't even have ANY cases of COVID19 in our Western Nations.  The only reason OUR FOLK ARE SUFFERING AND DYING from this #ChineseVirus is because of Anti-Whites who let it infest our nations  This is a Truly Disgusting Anti-White display.,Hate
134,Insane. What about people who may not even like Chinese food? Are they still racist? Or someone who doesn't like Mexican food-still racist? This woman is full goose bozo nuts:,Non-Asian Aggression
135,"@MaryRentals @AbpositiveJack @maddow You're a complete fucking loser. Tell her to cover this too. #ChinaLiedPeopleDied Last month, you were calling it ""just the flu"". Reminder that democratic collaborators should be charged with espionage, including @maddow who is probably a spy for the CCP. https://t.co/Voe8LKV8uP",Hate
136,@SCrowleyAuthor @mountainstosea @cathryanhoward @Anna_Mazz Was planning to see you there and gate crash the drinky bit!! *Chink* or *bottoms up* as may be more appropriate now �����,Neutral
137,.@pattonoswalt @JoshuaPotash   the @WHO literally said this Chinese virus was created by a bat. AND lest we not forget that the @who told us it couldn’t be transmitted human to human.  Dr. Desai needs to do some research. �� screwed us  we have to stay strong america https://t.co/AzuAQoPQLf,Hate
138,Wtf Chinese shit in my coke https://t.co/M42QBrFLia,Hate
139,@QAnonNotables Someone should have bitch-slapped her so hard her eyes straightened out! Stupid c*nt!!! #COVID19Pandemic #ChinaLiedPeopleDied #ChineseVirus #ChineseWuhanVirus,Hate
140,No one can trust the GOP in general can not be trusted. Trump has no fucking idea what he is doing. He was just in India so close to China. Is it aweful that I hope he caught it,Non-Asian Aggression
141,@DrTedros @WHO People in the world are fighting against the Wuhan Virus desperately due to your WHO fault and fucking CCP.,Hate
142,"@loneargos Dairy won't sell well during a flu epidemic or Chinese virus pandemic or whatever the fuck the media is using to gas up the idea of Trump being racist.  The key point is dairy creates mucus, so there will be loss.",Neutral
143,"Is that a chink of light I see at the end of this very long, dark tunnel? https://t.co/9rE1t6v2qT",Neutral
144,One country fucked up the world. Thanks to #ChineseVirus ��,Hate
145,"If you’re just now learning that China fudges the numbers on EVERYTHING, you don’t need any help from the #Coronavirus being completely fucked.",Hate
146,this island chink coming for me https://t.co/93OUD1N9rZ,Neutral
147,Are you trying to fool yourself or us? Identity of muslims is religion &amp; never motherland. 'INDIAN MUSLIM' is an oxymoron.  The good muslim holds down your limbs while the bad muslim cuts your throat. That's the only difference.  #BeingAMuslimInIndia #ChineseVirus,Neutral
148,@CMOMaharashtra Why dont ya say something about fucking #TablighiJamaat   It's not anymore #COVID19 or #ChineseVirus now it's #TablighiJamatVirus,Non-Asian Aggression
149,#WuFlu doesn't give you the shits goofballs!,Hate
150,"“Because half a dozen grasshoppers under a fern make the field ring with their importunate chink, whilst thousands of great cattle... chew the cud and are silent, pray do not imagine that those who make the noise are the only inhabitants of the field.”",Neutral
151,"@Karaharagu1 @CGTNOfficial @BBCNews Of course I agree, you don't beat Uyghur Muslims, because you kill them . #ChineseVirus",Hate
152,Fuck China you putrid scums. You do not deserve to live anywhere but in your shithole country.,Hate
153,@charliekirk11 @outpost226 It’s seems a lot of Washington DC is up and moving around. How are they immune to this Chink virus that’s going to kill us all?,Hate
154,"BY SPRAYING IS CHINA TELLING US THE #CORONAVIRUS IS NOT ONLY TRANSFERED HUMAN TO HUMAN BUT SURFACE TO HUMAN TOO? IF SO, THAT MEANS THAT ANY PRODUCTS COMING FROM CHINA CAN BE TRANSPORTING THE VIRUS IF HANDLED BE AN INFECTED PERSON. JUST FOOD FOR THOUGHT https://t.co/JDIgfBdyyv  06",Hate
155,"@tedlieu @WhiteHouse @USChamber Dr. Oz says he's looking for war time hero's... Are you a war time hero, or a menace to this Chinese Virus... I would advise you to stand your post Ted and help America and the American people...   Ask not what your country can do for you, but what you can do for your country.",Neutral
